Feb 19, 2002	1	2	3	0	text1	1	2	3	text2	1	2	3	text3	text4	text5	text5b	2	text6	text7	text7b	text8a	text8b	text8c	text9	text10	8	text12	1	text13	sedl-2-157.sedl.org 198.214.140.157
Feb 19, 2002	0	0	0	0		0	0	0	0	0	0	0														0				sedl-2-157.sedl.org 198.214.140.157
Feb 19, 2002	0	0	0	0		0	0	0	0	0	0	0														0				sedl-2-157.sedl.org 198.214.140.157
Feb 19, 2002	6	4	3	5		2	4	2	0	0	0	0		Meetings with the CEO.	1. To be given a task, to be assigned 5 or more unrelated/unfocused individuals, and told in only general terms what is expected.  	1. More attention and detail given to assignments and closer monitoring of the process by either the COO or directors.  Thoughtful assignment of committees to compliment working styles would also alleviate the problems.	2	The how depends on the circumstances.	I would not think all would.  But either complex or ones of a unique nature would benefit with face-to-face meetings.		Conversations with COO and directors and opportunities for dialogue as the process/product is forming.	Same as above.	Most issues should be resolved at this stage.	Limited feedback would be expected.	I could not provide such input.  As I seemed to be assigned rather randomly, a more specific choice of reviewers to meet the QA needs would prove more beneficial.	0	  	1		dialin-236.sedl.org 198.213.9.236
Feb 19, 2002	0	0	0	0		0	0	0	0	5	5	5		The meetings with the developers have been very informative and productive.	Providing the written report and getting it signed by everyone, etc. has been difficult at times.		1		Yes.  Even in the early stages, I've learned quite a bit from the meetings and feel that the QA team asked pertinent questions that helped the developers think about their product in a diffferent way.						No	7	Oh no! not again!	2	No	dialin-231.sedl.org 198.213.9.231
Feb 20, 2002	5	5	5	5		3	3	4	0	2	4	5		Having external reviewers who know the subject area	The collaboration of the COO and reviewers feedback to the developers	Be sure the COO's comments are available prior to the QA team's request for review	2	E-mail or phone message	Not necessarily if there is limited questions or changes needed	e-mails or phone	philosophical exchange of ideas	readibility, clarity for the audience, suggestions for additions or deletions of content	readibility, clarity	readability, clarity, understanding	Yes, to choose those most knowledgeable in the area	6	how will I fit this into my schedule	2		sedl-2-123.sedl.org 198.214.140.123
Feb 20, 2002	4	4	4	4		3	3	3	0	5	5	5					2	Informal communication, email	No	see above						8				sedl-2-104.sedl.org 198.214.140.104
Feb 20, 2002	5	5	4	5		3	3	3	0	4	5	5		The feedback from all entities has been generally helpful.	Balancing the review team's feedback with that of the COO when such feedback differ.	Staying in communication with the COO every step of the way.	2	Yes, if the changes substantially alter the product/document.  No if the changes are minor.	No.  Travel commitments make such meetings difficult.  	Everyone seems to be sensitive to the need for timely feedback  and is willing to provide feedback by alternative means (notes or telephone.)	As stated in current guidelines	As stated in current guidelines	As stated in current guidelines	Two or three observations from their area of expertise that relates to the product under review.	Yes--in order to tap particular expertise of the staff.  This would require, of course, some mechanism  for sharing information on resident expertise and some way not to overload individual staff members.	9	Concern, pressure	2	I am not dissatisfied with theQA process as it is.  My primary concern is related to the  need for advanced planning (on the developer side) commitment of time (on the review side).	sedl-2-170.sedl.org 198.214.140.170
Feb 20, 2002	0	0	0	0	test by brian	0	0	0	0	0	0	0														0				sedl-2-157.sedl.org 198.214.140.157
Feb 20, 2002	0	0	0	0	test 2 by brian	0	0	0	0	0	0	0														0				sedl-2-157.sedl.org 198.214.140.157
Feb 21, 2002	0	0	0	0	I have not submitted any products.	0	0	0	Seen above	2	2	1	The COO role is still unclear in terms of the weight of her feedback versus the review team		See above		1		No. Too hard to schedule	Email 	Not sure since I really have not been throught this process - I would only be guessing			Understanding of what is being communicated	Does not matter.	0	powerlessness	1		sedl-3-121.sedl.org 198.214.141.121
